"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Montgomery County, TN - Active Inventory","554","468","379","342","372","485","625","830","1,001","1,100","1,145","1,169","1,168","1,076","924","875","835","821","858","978","1,030","1,030","1,126","1,135","1,098","996","975","1,038","1,095","1,176","1,222","1,298","1,361","1,393","1,420","1,434","1,434"
"Montgomery County, TN - Under Contract Inventory","1,146","1,075","1,217","1,221","1,266","1,233","1,076","865","710","648","550","464","430","429","569","590","703","765","690","601","562","556","501","492","476","514","644","696","769","728","618","555","541","558","543","533","489"
"Cheatham County, TN - Active Inventory","63","50","49","43","54","78","111","143","155","166","159","169","160","147","140","142","132","124","141","144","148","143","143","155","156","140","137","136","139","169","196","219","219","243","249","246","229"
"Cheatham County, TN - Under Contract Inventory","132","119","125","123","118","124","128","119","113","98","75","64","65","61","80","81","85","95","81","84","90","82","82","75","64","69","97","99","107","113","112","109","120","109","107","88","89"
"Robertson County, TN - Active Inventory","110","101","90","93","126","184","224","284","310","306","339","333","317","291","271","257","263","260","245","256","282","277","260","272","253","229","240","230","240","244","265","285","318","319","333","330","302"
"Robertson County, TN - Under Contract Inventory","259","243","258","270","254","265","259","244","240","229","173","154","124","124","171","192","196","212","196","195","173","185","185","168","157","164","187","215","240","225","217","225","225","231","219","212","197"
"Davidson County, TN - Active Inventory","751","589","532","600","678","861","1,270","1,755","1,986","2,077","2,326","2,436","2,234","1,978","1,836","1,851","1,977","2,050","2,292","2,395","2,450","2,608","2,717","2,781","2,630","2,369","2,363","2,502","2,748","2,943","3,183","3,355","3,441","3,478","3,547","3,516","3,309"
"Davidson County, TN - Under Contract Inventory","2,198","1,965","2,203","2,231","2,360","2,393","2,335","2,152","2,117","2,044","1,783","1,560","1,391","1,320","1,719","1,808","1,821","1,921","1,807","1,704","1,619","1,474","1,345","1,218","1,092","1,118","1,327","1,498","1,585","1,556","1,481","1,414","1,370","1,382","1,313","1,220","1,078"
"Wilson County, TN - Active Inventory","193","169","157","160","197","262","336","454","559","598","663","676","627","581","559","499","523","543","565","557","540","574","592","595","573","533","530","533","590","626","671","703","714","758","781","755","721"
"Wilson County, TN - Under Contract Inventory","876","828","907","943","971","969","983","851","781","722","566","511","451","412","489","515","529","550","548","556","544","513","485","454","409","416","478","515","546","601","594","548","558","544","560","532","496"
"Williamson County, TN - Active Inventory","220","194","192","203","288","426","689","942","1,019","1,045","1,135","1,132","1,027","906","846","885","931","1,005","1,067","1,129","1,121","1,085","1,100","1,138","1,052","944","926","939","1,022","1,104","1,161","1,189","1,215","1,221","1,255","1,206","1,062"
"Williamson County, TN - Under Contract Inventory","1,238","1,131","1,206","1,313","1,358","1,324","1,209","1,150","1,108","1,080","906","809","709","672","838","850","940","1,032","1,040","1,005","953","914","857","781","726","709","818","951","1,028","1,112","1,020","984","862","821","803","804","722"
"Trousdale County, TN - Active Inventory","13","12","11","10","11","16","19","21","26","29","28","32","37","29","30","31","32","30","37","37","34","32","39","42","39","35","32","28","31","33","30","29","37","49","51","50","49"
"Trousdale County, TN - Under Contract Inventory","27","23","24","23","19","25","27","25","21","22","19","15","12","14","15","15","18","20","23","22","23","23","20","19","19","12","16","19","18","19","21","19","12","11","15","15","13"
"Rutherford County, TN - Active Inventory","277","224","217","237","292","434","618","878","1,017","1,093","1,171","1,193","1,131","1,058","940","917","923","913","932","984","982","979","1,018","1,048","995","920","868","863","898","1,003","1,085","1,158","1,184","1,228","1,252","1,215","1,125"
"Rutherford County, TN - Under Contract Inventory","1,345","1,239","1,245","1,276","1,305","1,334","1,303","1,167","1,126","1,074","930","821","696","697","959","1,030","1,082","1,217","1,199","1,161","1,106","1,024","935","818","747","703","825","925","980","990","960","977","941","941","874","831","721"
"Sumner County, TN - Active Inventory","281","242","232","227","274","311","463","600","674","716","778","809","724","660","631","623","611","634","653","707","712","783","812","829","800","700","656","694","722","789","835","901","932","972","1,013","978","906"
"Sumner County, TN - Under Contract Inventory","757","683","780","823","824","912","893","845","837","746","640","568","485","467","568","578","616","651","637","619","642","613","546","534","495","507","574","649","688","703","723","696","657","619","580","556","499"
"SUMMARY - Active Inventory","2,462","2,047","1,859","1,917","2,291","3,057","4,354","5,907","6,750","7,132","7,745","7,949","7,425","6,727","6,177","6,079","6,227","6,381","6,789","7,187","7,298","7,511","7,806","7,995","7,596","6,866","6,726","6,962","7,484","8,087","8,649","9,136","9,421","9,661","9,901","9,729","9,136"
"SUMMARY - Under Contract Inventory","7,979","7,307","7,966","8,224","8,475","8,580","8,212","7,418","7,053","6,663","5,642","4,967","4,363","4,194","5,406","5,657","5,988","6,462","6,222","5,945","5,711","5,382","4,954","4,556","4,183","4,211","4,967","5,568","5,960","6,047","5,746","5,528","5,286","5,217","5,015","4,790","4,303"

"Report Criteria: Residential: All; Montgomery County, TN; Cheatham County, TN; Robertson County, TN; Davidson County, TN; Wilson County, TN; Williamson County, TN; Trousdale County, TN; Rutherford County, TN; Sumner County, TN. Each data point represents 1 month of activity."
"Report Date: 01/01/25. © 2025 Realtracs, Inc."
