"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Nashville, TN - Med Sale $ (Closed)","$460,000","$450,000","$510,000","$512,500","$543,750","$546,000","$548,000","$500,000","$480,500","$495,000","$505,000","$497,101","$499,450","$460,000","$479,270","$500,000","$504,875","$530,500","$515,000","$525,000","$505,000","$530,000","$520,000","$499,575","$509,000","$488,000","$515,000","$549,250","$550,000","$545,000","$540,000","$550,000","$521,363","$500,000","$520,000","$545,900","$535,000"
"Mount Juliet, TN - Med Sale $ (Closed)","$515,699","$496,530","$522,291","$541,335","$508,500","$550,500","$606,450","$580,240","$530,900","$545,000","$562,995","$543,540","$550,000","$525,000","$524,000","$527,920","$549,500","$569,900","$565,000","$542,495","$575,000","$527,885","$546,500","$519,990","$620,000","$600,000","$529,990","$555,000","$587,630","$550,453","$591,500","$593,500","$575,000","$564,990","$563,000","$624,945","$565,000"
"Lebanon, TN - Med Sale $ (Closed)","$359,945","$341,943","$370,000","$333,164","$388,995","$385,000","$390,587","$379,990","$384,070","$385,000","$373,215","$397,250","$389,135","$371,538","$418,730","$379,950","$383,623","$393,385","$377,175","$430,000","$400,000","$420,000","$399,705","$399,990","$424,945","$399,290","$399,990","$412,000","$399,000","$412,000","$399,990","$412,000","$410,593","$395,990","$382,900","$400,000","$393,705"
"Gallatin, TN - Med Sale $ (Closed)","$349,990","$385,000","$400,000","$435,928","$415,230","$445,000","$414,900","$420,000","$396,085","$450,000","$417,450","$399,950","$430,000","$400,000","$417,000","$453,593","$400,000","$448,000","$463,500","$489,900","$438,244","$442,450","$426,849","$437,995","$391,310","$384,995","$433,065","$419,900","$414,325","$399,900","$429,453","$449,980","$444,995","$393,000","$428,118","$365,016","$371,029"
"Hendersonville, TN - Med Sale $ (Closed)","$459,950","$457,894","$451,000","$485,000","$480,000","$505,000","$487,000","$536,261","$537,900","$484,900","$471,989","$490,000","$520,000","$435,000","$439,900","$499,000","$486,545","$471,690","$527,450","$534,600","$509,990","$497,450","$500,000","$467,500","$460,000","$436,000","$560,000","$525,000","$569,900","$552,500","$515,000","$525,000","$490,000","$478,000","$535,000","$543,950","$507,500"
"Franklin, TN - Med Sale $ (Closed)","$750,000","$789,900","$907,000","$740,470","$950,000","$855,344","$822,500","$825,000","$752,500","$776,316","$755,000","$901,250","$865,000","$862,150","$864,800","$867,500","$915,000","$854,500","$960,574","$850,000","$815,000","$825,000","$828,000","$887,927","$870,000","$925,000","$953,553","$902,250","$889,900","$922,450","$850,000","$840,000","$919,900","$899,900","$943,368","$964,500","$903,700"
"Clarksville, TN - Med Sale $ (Closed)","$279,950","$277,050","$296,000","$304,000","$310,000","$320,000","$325,000","$313,450","$311,000","$296,000","$295,000","$290,000","$290,000","$285,000","$295,000","$290,000","$315,000","$321,499","$325,000","$315,978","$309,400","$299,000","$300,000","$300,000","$309,900","$305,000","$312,500","$320,000","$308,000","$315,900","$320,000","$315,000","$312,900","$314,945","$315,000","$324,900","$310,000"
"SUMMARY - Med Sale $ (Closed)","$400,000","$380,990","$405,000","$405,890","$442,000","$449,900","$439,995","$425,000","$429,000","$429,900","$429,900","$434,085","$440,000","$408,995","$425,000","$435,000","$435,000","$460,000","$445,000","$461,000","$469,900","$451,345","$446,232","$448,990","$449,900","$444,990","$450,000","$450,000","$475,000","$465,000","$465,000","$464,990","$455,000","$449,900","$455,000","$461,000","$435,000"

"Report Criteria: Residential: All; Nashville, TN; Mount Juliet, TN; Lebanon, TN; Gallatin, TN; Hendersonville, TN; Franklin, TN; Clarksville, TN. Each data point represents 1 month of activity."
"Report Date: 01/01/25. © 2025 Realtracs, Inc."
