"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Macon County, TN - Med Sale $ (Closed)","$253,000","$274,950","$252,450","$274,900","$248,450","$280,500","$242,900","$282,500","$259,900","$271,950","$199,900","$288,900","$163,000","$222,450","$242,450","$270,000","$250,000","$285,000","$290,000","$239,900","$270,000","$259,950","$250,000","$264,900","$238,000","$260,000","$274,000","$264,000","$282,000","$274,950","$265,000","$278,000","$285,000","$285,000","$294,950","$272,500","$275,000"
"Cheatham County, TN - Med Sale $ (Closed)","$360,000","$348,200","$353,450","$370,250","$386,034","$389,900","$390,000","$377,500","$321,500","$344,000","$329,950","$327,800","$350,000","$345,000","$364,500","$375,000","$385,000","$360,000","$360,000","$333,500","$380,000","$350,000","$360,000","$350,000","$335,980","$381,250","$367,000","$378,408","$343,900","$392,000","$387,288","$395,291","$380,000","$380,575","$424,130","$391,500","$389,995"
"Robertson County, TN - Med Sale $ (Closed)","$349,667","$346,788","$350,000","$367,515","$355,000","$374,950","$385,000","$394,950","$349,463","$399,900","$380,000","$361,020","$365,000","$325,995","$359,990","$356,550","$374,990","$354,950","$377,450","$385,255","$364,453","$360,665","$375,000","$363,750","$358,990","$375,000","$370,960","$355,000","$365,770","$363,378","$369,900","$376,000","$355,900","$354,990","$372,615","$337,550","$365,000"
"Smith County, TN - Med Sale $ (Closed)","$204,750","$280,000","$290,000","$261,000","$263,000","$274,000","$291,850","$259,900","$250,000","$279,950","$291,500","$310,000","$220,000","$259,900","$262,500","$274,900","$254,500","$264,250","$299,900","$285,000","$259,250","$299,950","$249,900","$261,000","$283,500","$294,950","$295,000","$350,000","$259,999","$298,150","$330,000","$310,000","$339,900","$375,000","$262,450","$272,500","$279,000"
"Davidson County, TN - Med Sale $ (Closed)","$405,000","$398,450","$425,000","$444,500","$459,000","$474,000","$465,000","$455,100","$445,000","$439,990","$463,235","$449,000","$446,405","$420,000","$429,450","$431,000","$435,000","$443,000","$445,857","$457,950","$459,900","$455,000","$449,900","$439,995","$450,000","$444,990","$451,263","$478,155","$481,860","$485,900","$475,000","$468,950","$460,000","$450,000","$465,750","$470,000","$460,000"
"Wilson County, TN - Med Sale $ (Closed)","$435,974","$415,000","$434,500","$393,795","$445,390","$461,681","$469,295","$450,000","$435,000","$428,500","$408,700","$439,900","$437,048","$409,750","$448,041","$433,650","$445,000","$479,950","$461,710","$465,656","$500,550","$458,990","$445,957","$461,990","$469,900","$459,900","$439,945","$444,718","$492,450","$467,710","$465,000","$464,858","$447,000","$490,000","$459,990","$434,990","$439,990"
"Cannon County, TN - Med Sale $ (Closed)","$317,500","$248,500","$296,450","$285,250","$280,500","$260,000","$300,000","$258,000","$360,000","$280,000","$255,000","$305,000","$305,000","$274,000","$309,950","$190,000","$304,950","$295,000","$349,900","$278,950","$424,988","$400,000","$295,000","$265,600","$330,000","$275,000","$256,500","$262,000","$339,900","$273,650","$319,000","$300,000","$300,000","$294,900","$305,000","$242,500","$349,000"
"Williamson County, TN - Med Sale $ (Closed)","$710,000","$725,850","$800,000","$800,000","$854,950","$875,942","$828,497","$845,718","$799,450","$810,695","$812,250","$911,234","$822,325","$830,750","$794,950","$860,000","$827,500","$854,500","$865,000","$850,000","$815,000","$849,900","$825,000","$798,624","$879,416","$874,900","$889,500","$906,405","$950,000","$912,500","$899,900","$865,000","$890,000","$860,000","$912,500","$962,500","$929,900"
"Maury County, TN - Med Sale $ (Closed)","$362,228","$376,900","$360,888","$385,275","$410,565","$409,950","$404,010","$410,000","$419,778","$404,000","$410,475","$404,095","$415,000","$415,000","$377,490","$380,285","$388,750","$395,000","$393,000","$400,000","$379,995","$395,000","$390,000","$390,000","$399,000","$382,152","$410,175","$419,450","$392,500","$410,000","$420,990","$415,000","$415,990","$408,990","$414,495","$439,000","$422,000"
"Trousdale County, TN - Med Sale $ (Closed)","$290,000","$299,950","$375,000","$300,000","$317,500","$361,950","$385,000","$316,500","$322,500","$219,900","$285,000","$316,000","$421,200","$274,950","$328,950","$337,450","$369,900","$329,900","$308,700","$365,000","$306,700","$365,000","$379,950","$369,900","$288,700","$325,000","$372,000","$326,000","$331,000","$350,000","$360,000","$376,750","$416,111","$362,000","$354,900","$359,900","$560,000"
"Rutherford County, TN - Med Sale $ (Closed)","$378,127","$388,000","$401,581","$406,915","$412,500","$429,900","$426,900","$436,500","$427,000","$420,450","$406,715","$405,688","$411,000","$387,000","$399,900","$402,400","$408,208","$408,000","$405,000","$410,010","$415,285","$410,000","$414,042","$424,990","$410,000","$410,000","$431,540","$427,450","$430,000","$429,995","$434,900","$424,895","$426,000","$421,950","$431,200","$459,395","$449,000"
"Dickson County, TN - Med Sale $ (Closed)","$319,900","$310,000","$354,950","$345,000","$316,900","$365,000","$349,900","$353,700","$332,450","$350,000","$314,950","$299,900","$310,000","$310,000","$304,000","$342,450","$337,000","$339,900","$374,950","$340,000","$346,450","$340,000","$345,848","$369,450","$355,000","$370,000","$355,000","$344,995","$364,950","$340,000","$388,450","$349,900","$398,950","$365,000","$342,950","$345,500","$373,000"
"Hickman County, TN - Med Sale $ (Closed)","$251,000","$250,000","$294,450","$237,500","$267,000","$247,750","$285,000","$273,500","$237,000","$265,000","$204,000","$256,000","$213,000","$190,995","$241,100","$257,000","$271,000","$267,500","$280,000","$285,000","$279,900","$325,000","$265,000","$276,500","$270,950","$240,000","$334,500","$296,000","$280,000","$324,950","$365,850","$279,500","$339,000","$312,500","$269,500","$251,000","$299,900"
"Sumner County, TN - Med Sale $ (Closed)","$380,495","$380,990","$400,000","$430,000","$420,000","$450,000","$425,000","$438,990","$427,000","$425,000","$407,210","$415,000","$439,458","$410,000","$399,950","$420,000","$421,077","$430,000","$444,995","$485,000","$434,000","$422,950","$437,740","$428,505","$397,000","$396,250","$435,000","$425,258","$432,000","$439,900","$434,653","$449,900","$438,000","$403,745","$445,000","$412,500","$420,000"
