"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Nashville, TN - Months of Supply","1.26","1.73","1.36","1.18","1.23","1.34","1.51","2.39","2.55","3.08","3.48","4.29","3.63","4.47","3.82","2.56","3.54","2.91","3.16","3.47","3.1","4.12","4.42","5.04","4.72","5.83","4.4","3.93","3.82","3.57","4.77","4.79","4.91","5.44","5.43","6.09","5.35"
"Mount Juliet, TN - Months of Supply","0.7","0.93","0.72","0.68","0.76","0.9","1.1","1.51","2.07","2.1","3.24","4.18","3.45","4.75","2.76","2.58","2.48","2.23","2.18","2.88","2.08","2.92","3.12","2.71","3","3.83","3.1","2.5","2.63","2.9","3.15","3.69","3.53","2.98","3.71","4.55","3.95"
"Lebanon, TN - Months of Supply","1.17","1.43","1.54","0.87","1.1","1.32","1.29","1.66","2.13","1.79","2.68","3.27","2.77","3.46","3.8","2.33","2.99","2.64","2.56","3.07","2.98","2.99","2.89","3.33","3.63","4.52","3.66","2.75","3.43","3.06","2.94","3.3","3.18","4.36","3.88","3.76","3.79"
"Gallatin, TN - Months of Supply","1.01","2.06","1.85","1.11","1.44","1.64","1.46","2.07","1.77","2.04","2.77","3.83","3.12","4.72","3.82","2.39","2.68","2.47","2.55","3.23","2.68","3.5","3.88","4.08","3.12","4.4","4.12","3.19","2.64","2.85","2.54","2.51","3.16","3.26","3.52","3.83","3.43"
"Hendersonville, TN - Months of Supply","0.83","1.11","0.86","0.67","0.92","1.01","1.44","2.36","2.13","2.48","3.42","3.4","2.69","3.48","2.84","2.52","2.66","2.18","2.63","3.38","2.56","3.1","3.04","3.26","3.07","3.79","2.98","3.27","2.92","2.53","3.6","3.41","2.88","4.6","3.55","3.26","4.84"
"Franklin, TN - Months of Supply","0.88","1.27","1.1","0.95","1.13","1.17","1.54","3.16","2.49","2.46","3.43","4.32","3.17","4.03","3.42","2.35","3.53","2.18","2.56","3","2.49","3.35","2.78","4.06","3.14","3","3.59","2.74","2.93","2.5","2.77","2.82","3.58","4.23","4.42","3.76","3.3"
"Clarksville, TN - Months of Supply","1.68","1.96","1.98","1.33","1.48","1.45","1.41","1.91","2.49","3","3.61","4.4","3.98","4.66","3.68","2.69","3.19","2.45","2.15","3.33","3.21","3.79","3.83","4.95","4.2","4.96","4.31","3.61","3.76","3","3.68","3.93","4.3","5.12","4.74","5.85","4.87"
"SUMMARY - Months of Supply","1.25","1.67","1.48","1.12","1.25","1.33","1.43","2.15","2.37","2.65","3.35","4.11","3.47","4.33","3.61","2.53","3.23","2.59","2.66","3.3","2.92","3.7","3.77","4.43","4.01","4.83","4.07","3.47","3.48","3.14","3.75","3.88","4.11","4.74","4.66","5.05","4.59"

"Report Criteria: Residential: All; Nashville, TN; Mount Juliet, TN; Lebanon, TN; Gallatin, TN; Hendersonville, TN; Franklin, TN; Clarksville, TN. Each data point represents 1 month of activity."
"Report Date: 01/01/25. © 2025 Realtracs, Inc."
