"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Nashville, TN - New Listings","627","829","927","1,148","1,094","1,239","1,430","1,270","1,175","1,129","1,123","759","568","1,037","928","1,189","1,262","1,357","1,295","1,113","1,193","1,122","1,152","966","725","1,123","1,241","1,392","1,498","1,459","1,342","1,320","1,338","1,101","1,090","862","531"
"Mount Juliet, TN - New Listings","98","102","98","194","153","221","216","199","199","207","156","129","120","171","135","188","173","165","200","170","194","197","180","175","156","214","213","212","247","253","210","203","257","249","174","191","146"
"Lebanon, TN - New Listings","207","238","229","296","287","353","357","327","337","316","316","272","234","319","241","279","294","313","291","267","291","282","291","279","199","273","293","272","322","334","307","376","349","350","322","268","212"
"Gallatin, TN - New Listings","159","162","214","282","253","266","283","270","240","248","251","195","171","208","188","223","276","230","223","245","255","268","264","234","190","254","273","302","323","323","270","324","273","271","242","268","211"
"Hendersonville, TN - New Listings","80","119","126","130","149","172","235","218","181","189","165","123","126","156","162","202","159","182","199","165","163","168","140","161","99","131","144","188","219","185","217","210","184","176","202","147","101"
"Franklin, TN - New Listings","114","188","204","300","326","357","422","333","320","297","271","204","131","265","226","283","338","343","320","314","261","255","216","180","156","223","226","296","334","314","294","247","285","244","248","193","119"
"Clarksville, TN - New Listings","473","602","611","772","767","824","825","810","720","542","441","492","382","493","436","633","572","579","601","564","455","580","511","372","384","457","559","750","667","576","602","630","653","532","608","490","396"
"SUMMARY - New Listings","1,758","2,240","2,409","3,122","3,029","3,432","3,768","3,427","3,172","2,928","2,723","2,174","1,732","2,649","2,316","2,997","3,074","3,169","3,129","2,838","2,812","2,872","2,754","2,367","1,909","2,675","2,949","3,412","3,610","3,444","3,242","3,310","3,339","2,923","2,886","2,419","1,716"

"Report Criteria: Residential: All; Nashville, TN; Mount Juliet, TN; Lebanon, TN; Gallatin, TN; Hendersonville, TN; Franklin, TN; Clarksville, TN. Each data point represents 1 month of activity."
"Report Date: 01/01/25. © 2025 Realtracs, Inc."
