"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Montgomery County, TN - New Listings","490","627","630","807","806","854","864","841","756","555","462","503","394","522","447","655","604","614","638","596","487","603","538","401","399","485","597","788","706","613","628","666","684","567","636","517","421"
"Cheatham County, TN - New Listings","44","67","66","87","107","136","112","121","86","84","74","69","50","72","70","70","79","82","93","83","67","73","76","64","47","128","73","77","111","122","136","113","122","106","107","90","68"
"Robertson County, TN - New Listings","131","141","164","216","194","258","269","254","208","204","180","160","118","189","169","206","231","181","164","209","200","190","187","176","124","197","212","241","250","273","257","262","213","234","226","187","142"
"Davidson County, TN - New Listings","995","1,204","1,347","1,680","1,600","1,898","2,098","1,861","1,731","1,585","1,497","1,157","864","1,495","1,312","1,627","1,681","1,797","1,815","1,495","1,691","1,506","1,538","1,343","1,015","1,573","1,660","1,902","1,995","2,031","1,911","1,864","1,865","1,656","1,595","1,294","824"
"Wilson County, TN - New Listings","323","353","352","519","474","597","594","575","556","535","487","410","356","497","383","474","478","510","505","459","498","500","496","469","353","485","519","497","591","608","529","598","612","619","519","477","368"
"Williamson County, TN - New Listings","323","457","526","663","709","810","951","768","732","730","637","484","347","635","569","702","803","814","833","727","669","587","588","510","451","687","700","758","907","821","742","652","716","666","672","526","364"
"Trousdale County, TN - New Listings","15","14","22","18","24","22","27","19","24","14","20","11","14","12","19","15","21","25","23","22","25","28","21","21","13","14","14","26","28","18","17","14","29","26","23","21","15"
"Rutherford County, TN - New Listings","504","593","620","856","795","967","995","940","944","841","729","619","502","837","697","867","837","850","891","726","856","714","739","655","530","803","709","809","860","874","907","877","919","786","847","668","501"
"Sumner County, TN - New Listings","352","390","480","572","577","606","714","676","607","606","557","420","387","515","482","589","567","589","557","579","634","603","573","556","439","535","586","663","735","723","678","707","668","648","653","535","442"
"SUMMARY - New Listings","3,177","3,846","4,207","5,418","5,286","6,148","6,624","6,055","5,644","5,154","4,643","3,833","3,032","4,774","4,148","5,205","5,301","5,462","5,519","4,896","5,127","4,804","4,756","4,195","3,371","4,907","5,070","5,761","6,183","6,083","5,805","5,753","5,828","5,308","5,278","4,315","3,145"

"Report Criteria: Residential: All; Montgomery County, TN; Cheatham County, TN; Robertson County, TN; Davidson County, TN; Wilson County, TN; Williamson County, TN; Trousdale County, TN; Rutherford County, TN; Sumner County, TN. Each data point represents 1 month of activity."
"Report Date: 01/01/25. © 2025 Realtracs, Inc."
