"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Nashville, TN - Med Sale $ / SqFt","$275","$281","$299","$315","$320","$323","$334","$317","$316","$312","$314","$307","$311","$308","$298","$316","$311","$321","$318","$322","$313","$316","$313","$307","$300","$285","$301","$304","$313","$315","$319","$306","$304","$308","$306","$316","$310"
"Mount Juliet, TN - Med Sale $ / SqFt","$206","$211","$222","$230","$232","$242","$239","$231","$234","$235","$242","$238","$234","$226","$223","$236","$225","$228","$229","$227","$231","$227","$222","$222","$239","$228","$235","$236","$235","$237","$240","$236","$237","$234","$239","$241","$239"
"Lebanon, TN - Med Sale $ / SqFt","$199","$192","$194","$197","$202","$207","$210","$214","$215","$217","$211","$207","$211","$203","$207","$201","$208","$212","$209","$215","$212","$211","$212","$210","$205","$215","$210","$208","$211","$217","$214","$210","$200","$208","$207","$199","$204"
"Gallatin, TN - Med Sale $ / SqFt","$196","$200","$208","$214","$218","$224","$217","$220","$215","$211","$220","$215","$208","$208","$213","$213","$211","$218","$227","$217","$221","$216","$217","$211","$203","$210","$219","$227","$215","$218","$215","$218","$224","$214","$224","$213","$204"
"Hendersonville, TN - Med Sale $ / SqFt","$197","$202","$210","$221","$216","$223","$221","$215","$224","$221","$217","$213","$213","$220","$216","$218","$228","$224","$222","$223","$221","$226","$227","$219","$225","$215","$229","$225","$234","$234","$229","$228","$227","$218","$226","$223","$223"
"Franklin, TN - Med Sale $ / SqFt","$285","$281","$318","$308","$341","$330","$320","$316","$311","$321","$312","$307","$308","$289","$302","$305","$310","$319","$334","$315","$310","$310","$304","$301","$316","$304","$302","$321","$318","$324","$321","$317","$317","$325","$341","$335","$331"
"Clarksville, TN - Med Sale $ / SqFt","$157","$159","$160","$166","$171","$174","$173","$175","$176","$175","$173","$170","$172","$170","$170","$173","$180","$177","$181","$180","$179","$181","$181","$182","$187","$180","$180","$180","$184","$188","$180","$183","$183","$184","$179","$186","$183"
"SUMMARY - Med Sale $ / SqFt","$206","$202","$217","$218","$228","$232","$231","$227","$229","$232","$231","$232","$231","$227","$228","$236","$229","$239","$236","$241","$244","$240","$237","$231","$237","$233","$240","$237","$248","$243","$243","$240","$237","$238","$239","$240","$235"

"Report Criteria: Residential: All; Nashville, TN; Mount Juliet, TN; Lebanon, TN; Gallatin, TN; Hendersonville, TN; Franklin, TN; Clarksville, TN. Each data point represents 1 month of activity."
"Report Date: 01/01/25. © 2025 Realtracs, Inc."
