"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Nashville, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","10.72","9.14","11.8","11.61","9.93","9.2","8.53","9.42","8.72","8.24","8.27","9.71","10.31","9.54","8.81","8.71","8.17","7.19","7.4","7.95","8.25","7.95","8.3","8.66"
"Mount Juliet, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","9.21","11.05","8.31","11.53","8.93","8.97","7.08","6.67","9.38","9.24","7.81","8.96","8.73","7.08","9.74","10.25","6.73","7.78","8.87","9.91","8.92","9.45","8.02","6.62"
"Lebanon, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","6.15","4.58","6.36","6.63","6.36","7.62","9.88","7.59","7.67","7.02","5.34","6.36","5.03","9.14","5.39","6.85","6.84","6.85","5.74","4.82","5.13","5.25","5.11","6.63"
"Gallatin, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","7.08","8.02","9.85","5.85","7.42","8.09","8.02","10.62","8.61","9.27","7.96","7.22","7.31","7.29","7.28","7.61","7.27","7.39","7.06","6.68","6.6","4.95","6.03","4.13"
"Hendersonville, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","12.07","10.56","8.63","9.93","5.72","8.21","8.19","6.17","10.08","6.42","7.6","7.04","7.68","10.33","8.81","8","12.66","10.79","8.82","9.38","10.36","8.4","11.65","8.3"
"Franklin, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","8.87","12.39","11.41","11.71","8.55","10.33","8.69","10.29","12.78","10.43","9.93","15.57","12.66","13.97","8.61","9.56","9.22","10.63","9.39","10.5","8.96","11.77","12.85","9.79"
"Clarksville, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","10.87","10.98","9.26","10.08","10.41","8.97","9.73","9.19","7.63","8","7.06","8.33","8.89","9.48","9.2","8.19","8.49","9.19","7.68","7.82","7","7.51","7.39","7.58"
"SUMMARY - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","10.06","9.5","10.19","10.34","9.31","9","8.83","9","8.87","8.29","7.75","9.31","9.22","9.61","8.63","8.54","8.36","8.22","7.63","8.01","7.79","7.95","8.24","7.78"

"Report Criteria: Residential: All; Nashville, TN; Mount Juliet, TN; Lebanon, TN; Gallatin, TN; Hendersonville, TN; Franklin, TN; Clarksville, TN. Each data point represents 1 month of activity."
"Report Date: 01/01/25. © 2025 Realtracs, Inc."
