"","Dec - 2021","Jan - 2022","Feb - 2022","Mar - 2022","Apr - 2022","May - 2022","Jun - 2022","Jul - 2022","Aug - 2022","Sep - 2022","Oct - 2022","Nov - 2022","Dec - 2022","Jan - 2023","Feb - 2023","Mar - 2023","Apr - 2023","May - 2023","Jun - 2023","Jul - 2023","Aug - 2023","Sep - 2023","Oct - 2023","Nov - 2023","Dec - 2023","Jan - 2024","Feb - 2024","Mar - 2024","Apr - 2024","May - 2024","Jun - 2024","Jul - 2024","Aug - 2024","Sep - 2024","Oct - 2024","Nov - 2024","Dec - 2024"
"Montgomery County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","10.63","10.84","8.96","10.06","10.66","8.73","9.69","9.05","7.59","8.03","0","0","8.87","9.2","9.34","8.27","8.47","9.14","7.64","7.82","7.1","7.58","7.39","7.49"
"Cheatham County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.24","7.67","7.44","8.44","6.78","9.5","9.48","6.4","8.15","6.64","7.47","7.18","6.45","7"
"Robertson County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.28","7","6.68","7.73","8.03","6.54","6.57","4.71","6.67","5.77","5.57","8.08","8.41","6.79"
"Davidson County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","9.61","8.67","11.54","11.16","10.03","9.41","8.53","9.66","9.38","8","8.89","9.54","9.86","9.73","8.78","8.43","8.27","7.16","6.9","7.68","7.88","7.81","8.2","8.88"
"Wilson County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.34","7.37","6.53","8.74","7.64","8.76","7","7.48","7.18","7.1","6.91","6.14","6.28","6.76"
"Williamson County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.34","12.2","9.66","10.86","8.5","9.24","8.54","9.16","8.41","9.8","8.26","9.43","9.89","9.41"
"Trousdale County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5.18","8.88","6.5","2.67","5.82","8","8.67","4.86","6.22","3","6"
"Rutherford County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.24","6.42","5.88","6.34","5.94","7.12","6.3","5.9","7.59","6.82","5.84","7.18","6.89","6.37"
"Sumner County, TN - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.19","8.75","7.31","8.45","9.2","7.67","8.86","8.24","7.77","7.78","8.16","6.63","7.3","5.08"
"SUMMARY - Avg Total Showings to Contract","0","0","0","0","0","0","0","0","0","0","0","0","0","8.93","8.67","9.64","9.81","8.92","8.73","8.11","8.74","8.66","8.14","8.05","8.76","8.34","8.87","8.3","8.21","7.92","7.49","7.43","7.7","7.3","7.64","7.85","7.6"

"Report Criteria: Residential: All; Montgomery County, TN; Cheatham County, TN; Robertson County, TN; Davidson County, TN; Wilson County, TN; Williamson County, TN; Trousdale County, TN; Rutherford County, TN; Sumner County, TN. Each data point represents 1 month of activity."
"Report Date: 01/01/25. © 2025 Realtracs, Inc."
